address,bedrooms,full_bathrooms,half_bathrooms,type,surface,lot_surface,price
3646 Dorrington Dr Las Vegas NV 89129,5,3,0,Single Family Home,3386,6098,280000
2151 Hussium Hills St Unit 107 Las Vegas NV 89108,2,2,0,Condo/Townhome/Row Home/Co-Op,935,,59900
1213 Toledo St Henderson NV 89015,4,2,0,Single Family Home,1452,6969,149900
10301 Kadumba St Las Vegas NV 89178,4,3,0,Single Family Home,3145,6098,299900
3391 Racquet St Las Vegas NV 89121,2,2,1,Condo/Townhome/Row Home/Co-Op,1582,1742,105000
3080 Greenbriar Dr Las Vegas NV 89121,4,3,0,Single Family Home,2130,10454,169000
7523 Kingston Cove St Las Vegas NV 89166,3,2,1,Single Family Home,1801,3049,185500
2700 Las Vegas Blvd S Unit 905 Las Vegas NV 89109,1,1,0,Condo/Townhome/Row Home/Co-Op,778,,215000
1231 S Maryland Pw Las Vegas NV 89104,6,3,0,Single Family Home,2032,8712,279000
1016 Brinkman St Las Vegas NV 89138,3,2,1,Single Family Home,1863,4356,195000
7730 Secret Shore Dr Unit: 106 Las Vegas NV 89128,1,1,0,Condo/Townhome/Row Home/Co-Op,659,,60000
511 Crimson View Pl Las Vegas NV 89144,3,2,1,Condo/Townhome/Row Home/Co-Op,1873,2613,199990
4346 Sabadell St Las Vegas NV 89121,5,2,1,Single Family Home,2781,7840,234900
1615 Ringe Ln Las Vegas NV 89156,5,2,0,Single Family Home,2268,10890,125000
3750 Las Vegas Blvd S Unit 4506 Las Vegas NV 89158,3,3,1,Condo/Townhome/Row Home/Co-Op,3922,,4999000
5549 Green Ferry Ave Las Vegas NV 89131,4,2,1,Single Family Home,2791,6098,259990
7950 W Flamingo Rd Unit 1072 Las Vegas NV 89147,2,2,0,Condo/Townhome/Row Home/Co-Op,1023,2395,95000
9429 Whittier Ct Las Vegas NV 89117,5,3,0,Single Family Home,2785,6534,335000
8609 Spotted Fawn Ct Las Vegas NV 89131,3,2,0,Single Family Home,2441,7840,245000
Marina Las Vegas NV 89179,3,3,0,Single Family Home; Ready to build,2174,87120,272990
2752 Mintlaw Ave Henderson NV 89044,3,2,0,Single Family Home,1928,5662,284000
9317 Brigham Ave Las Vegas NV 89178,3,3,1,Single Family Home,1813,3049,195000
3200 Alcoa Ave Las Vegas NV 89102,5,2,0,Single Family Home,1850,6969,137900
6985 S Valley View Blvd Las Vegas NV 89118,3,3,1,Single Family Home,4766,2134,280000
4025 Keasberry Ave Las Vegas NV 89081,4,3,1,Single Family Home,2864,6098,230000
4363 Mountain View Blvd Las Vegas NV 89102,2,1,0,Single Family Home,831,9147,122900
2200 S Fort Apache Rd Unit 1233 Las Vegas NV 89117,2,2,0,Condo/Townhome/Row Home/Co-Op,1053,,94900
9425 San Laguna Ct Unit: 203 Las Vegas NV 89134,2,2,0,Condo/Townhome/Row Home/Co-Op,1453,,177000
10128 Desert Wind Dr Las Vegas NV 89144,5,3,0,Single Family Home,2112,5227,345000
20 Hawk Ridge Dr Las Vegas NV 89135,6,7,1,Single Family Home,10014,20038,2749900
10453 Niagara Falls Ln Las Vegas NV 89144,5,3,0,Single Family Home,2411,5662,219900
Las Vegas NV 89148,5,3,0,Single Family Home,3034,7405,314110
5125 W Reno Ave Apt 1052 Las Vegas NV 89118,3,3,0,Condo/Townhome/Row Home/Co-Op,1567,1568,120000
3439 Cape Cod Dr Las Vegas NV 89122,2,2,0,Mfd/Mobile Home,1152,4791,61500
3007 Mcleod Dr Las Vegas NV 89121,4,2,0,Single Family Home,1356,7013,69000
3705 Alcantara Ln Las Vegas NV 89084,5,3,0,Single Family Home,4075,7840,295000
5419 Northridge Ln Las Vegas NV 89122,3,2,0,Single Family Home,1296,5662,68500
2454 Abarth St Las Vegas NV 89142,4,2,0,Single Family Home,2007,7840,139000
8232 Cimarron Ridge Dr Las Vegas NV 89128,3,2,0,Single Family Home,1232,4356,163999
4429 Pureza Av Las Vegas NV 89115,3,2,0,Condo/Townhome/Row Home/Co-Op,1326,4356,75000
2875 Brodie Silver St Henderson NV 89044,3,2,0,Single Family Home,2213,11761,349900
1309 Plum Canyon St Las Vegas NV 89142,2,1,1,Single Family Home,1278,1742,114900
1608 Silver Oaks St Las Vegas NV 89117,5,4,1,Single Family Home,4991,18731,799000
10051 Cambridge Blue Ave Las Vegas NV 89147,5,3,0,Single Family Home,2366,4356,240000
3709 River Canyon Rd Las Vegas NV 89129,5,3,0,Single Family Home,3215,7840,299999
5383 Mountain Vista St Unit 14 Las Vegas NV 89120,3,2,1,Condo/Townhome/Row Home/Co-Op,1448,,84900
11929 Luna Del Mar Ln Las Vegas NV 89138,3,2,1,Single Family Home,1792,7405,375000
10815 Mission Lakes Ave Las Vegas NV 89134,2,2,0,Condo/Townhome/Row Home/Co-Op,1250,3049,183900
6377 Walden Pond Ct Las Vegas NV 89148,2,2,1,Single Family Home,1189,1742,117800
9470 Peace Way Unit 231 Las Vegas NV 89147,2,2,0,Condo/Townhome/Row Home/Co-Op,895,,60000
8 Vintage Canyon St Las Vegas NV 89141,6,6,1,Single Family Home,6360,19602,1599900
4260 E Chicago Ave Las Vegas NV 89104,4,2,0,Single Family Home,1436,7405,174990
Las Vegas NV 89104,3,2,0,Single Family Home,1577,7405,155000
11060 Abbeyfield Rose Dr Las Vegas NV 89052,2,2,1,Single Family Home,1170,2178,140000
7163 S Durango Dr Unit 110 Las Vegas NV 89113,2,2,0,Condo/Townhome/Row Home/Co-Op,929,,104900
210 E Flamingo Rd Unit: 215 Las Vegas NV 89169,2,2,0,Condo/Townhome/Row Home/Co-Op,974,,135000
8356 Lovers Knot Ct Las Vegas NV 89131,4,3,1,Single Family Home,3638,14810,490000
4361 Sanderling Cir Unit 38 Las Vegas NV 89103,1,1,0,Condo/Townhome/Row Home/Co-Op,684,,69000
605 S Royal Crest Cir Unit 22 Las Vegas NV 89169,1,1,0,Condo/Townhome/Row Home/Co-Op,624,1481,34000
1912 Via Firenze Henderson NV 89044,3,2,1,Condo/Townhome/Row Home/Co-Op,1736,2178,215250
7717 Native Winds Ct Las Vegas NV 89149,3,3,0,Single Family Home,2853,5227,284999
2032 Park Way N Las Vegas NV 89106,4,3,0,Single Family Home,2885,14375,349000
3441 Quiet Pueblo St Las Vegas NV 89032,5,3,0,Single Family Home,2141,4356,180900
2020 Plan Las Vegas NV 89166,4,2,1,Single Family Home; Ready to build,2020,87120,247990
5113 Midnight Oil Dr Las Vegas NV 89122,3,2,0,Single Family Home,1225,3920,129000
711 Wolf Lake Ave Las Vegas NV 89032,3,2,0,Single Family Home,1539,6534,175000
88 Honors Course Dr Las Vegas NV 89148,5,4,1,Single Family Home,3429,4791,599000
1801 Jack Rabbit Way Las Vegas NV 89128,3,3,0,Single Family Home,1996,5227,269000
5016 Ridge Dr Las Vegas NV 89103,2,2,0,Mfd/Mobile Home,1152,4356,69900
640 Chervil Valley Dr Las Vegas NV 89138,5,4,1,Single Family Home,4618,10890,944999
614 Landview Ct Las Vegas NV 89123,3,2,0,Single Family Home,1473,5662,135000
1208 Moselle Ct Las Vegas NV 89144,5,3,1,Single Family Home,4894,12632,1300000
880 Crazyhorse Way Las Vegas NV 89110,5,2,0,Single Family Home,3020,21344,159900
Las Vegas NV 89120,3,2,0,Condo/Townhome/Row Home/Co-Op,1026,871,79000
7653 Interlace St Las Vegas NV 89149,3,2,1,Single Family Home,1298,1742,135000
3029 Bellavista Ln Las Vegas NV 89122,2,2,0,Mfd/Mobile Home,1512,5227,79500
3010 Soft Horizon Way Las Vegas NV 89135,3,3,1,Single Family Home,3455,9888,525000
8330 Rancho Destino Rd Las Vegas NV 89123,2,2,0,Single Family Home,2396,90605,450000
7560 Parnell Ave Las Vegas NV 89147,4,3,1,Single Family Home,2449,6098,239900
3930 Swenson St Apt 511 Las Vegas NV 89119,3,2,0,Condo/Townhome/Row Home/Co-Op,1321,,125000
6329 War Emblem Ct Las Vegas NV 89141,3,2,1,Single Family Home,1830,3920,131000
8102 Yucca Springs Dr Las Vegas NV 89129,6,3,0,Single Family Home,4813,23522,435000
2107 Clearwater Lake Dr Henderson NV 89044,3,3,1,Single Family Home,2708,10019,320000
6270 Stone Hollow Ave Las Vegas NV 89156,4,2,1,Single Family Home,2082,6969,169500
5631 Bishop Flowers St Las Vegas NV 89130,3,2,1,Single Family Home,1750,2613,225505
6955 N Durango Dr Unit: 1011 Las Vegas NV 89149,1,1,0,Condo/Townhome/Row Home/Co-Op,700,,63275
6260 W Azure Dr Las Vegas NV 89130,4,2,1,Single Family Home,3072,13504,319900
8428 Durango Ranch Ct Las Vegas NV 89113,4,3,0,Single Family Home,3438,17860,569900
2807 Geary Pl Unit 2506 Las Vegas NV 89109,1,1,0,Condo/Townhome/Row Home/Co-Op,897,,89900
2021 Diamond Brook Ct Las Vegas NV 89117,4,2,0,Single Family Home,2048,6098,339000
7957 Cina Ave Las Vegas NV 89147,2,2,1,Condo/Townhome/Row Home/Co-Op,1287,2178,135000
8801 Silver Mountain Ct Las Vegas NV 89134,4,2,1,Single Family Home,2429,7405,285000
2525 Monte Carlo Dr Las Vegas NV 89108,4,2,0,Single Family Home,1112,6098,124900
3350 Plan Las Vegas NV 89131,4,3,0,Single Family Home; Ready to build,3350,130680,409990
Las Vegas NV 89144,5,6,1,Single Family Home,8858,19166,3499999
718 Iron Bridge St Las Vegas NV 89178,3,2,1,Single Family Home,1732,2613,105000
62 E Serene Av Unit: 418 Las Vegas NV 89123,2,2,0,Condo/Townhome/Row Home/Co-Op,1134,,101800
5508 Stacked Chips Rd # 3 Las Vegas NV 89122,3,2,1,Condo/Townhome/Row Home/Co-Op,1562,871,150000
6315 Foothill Blvd Las Vegas NV 89118,3,2,0,Single Family Home,1116,6098,119500
923 Royalmile Way Las Vegas NV 89032,3,2,1,Single Family Home,2059,5227,149900
2700 Las Vegas Blvd S Unit 3003 Las Vegas NV 89109,2,2,1,Condo/Townhome/Row Home/Co-Op,1467,,475000
26 Meadowhawk Ln Las Vegas NV 89135,6,6,1,Single Family Home,7238,19166,3900000
7622 Noche Oscura Cir Las Vegas NV 89139,4,3,1,Single Family Home,3183,16117,310000
6817 Willowcroft St Las Vegas NV 89149,4,3,1,Single Family Home,3730,20038,535269
4522 Via San Rafael Las Vegas NV 89103,2,2,0,Condo/Townhome/Row Home/Co-Op,1036,3920,95000
3305 Sonterra Cir Las Vegas NV 89117,2,2,1,Single Family Home,1328,3049,175000
7812 Bluewater Dr Las Vegas NV 89128,3,2,1,Condo/Townhome/Row Home/Co-Op,1735,2613,269900
5250 S Rainbow Blvd Unit 2013 Las Vegas NV 89118,2,2,0,Condo/Townhome/Row Home/Co-Op,1034,,120000
Las Vegas NV 89169,2,2,1,Condo/Townhome/Row Home/Co-Op,2126,,799000
43 E Agate Ave Unit 201 Las Vegas NV 89123,1,1,0,Condo/Townhome/Row Home/Co-Op,786,,114000
3657 Evening Fog St Las Vegas NV 89129,3,2,1,Single Family Home,1485,3049,175000
3319 Mission Creek Ct Las Vegas NV 89135,3,3,1,Single Family Home,2712,7840,598000
1208 Arrowhead Ave Las Vegas NV 89106,4,2,0,Single Family Home,1306,6969,104990
2962 Juniper Hills Blvd Unit 101 Las Vegas NV 89142,3,2,0,Condo/Townhome/Row Home/Co-Op,1074,1089,72000
9096 Epworth Ave Las Vegas NV 89148,2,2,1,Single Family Home,1246,1742,131000
1780 Sweet Pea Ave Las Vegas NV 89183,5,3,0,Single Family Home,3246,7405,379800
8400 W Charleston Blvd Apt 143 Las Vegas NV 89117,2,2,0,Condo/Townhome/Row Home/Co-Op,1138,,97000
45 Hawk Ridge Dr Las Vegas NV 89135,4,4,2,Single Family Home,7016,21780,4499000
4816 Castle Rock Ct Las Vegas NV 89147,3,2,1,Single Family Home,1762,6098,171000
831 Stonehenge St Las Vegas NV 89110,5,2,1,Single Family Home,1845,7405,189999
2178 E Desert Inn Rd Las Vegas NV 89169,2,1,1,Condo/Townhome/Row Home/Co-Op,1000,435,49900
9336 Netherfield Ave Las Vegas NV 89178,3,2,1,Single Family Home,1846,2613,216300
2900 Morning Dew St Las Vegas NV 89117,4,3,0,Single Family Home,2238,6969,359500
Las Vegas NV 89139,3,2,1,Single Family Home,1805,3920,183000
2732 Kildrummie St Henderson NV 89044,4,3,2,Single Family Home,5005,7840,550000
5401 Coral Gables Dr Las Vegas NV 89130,4,2,1,Single Family Home,3369,11326,285000
Las Vegas NV 89156,2,2,1,Single Family Home,1144,1742,89900
7308 Casa Solar Ct Las Vegas NV 89128,3,2,1,Single Family Home,1928,4791,169900
Emma Las Vegas NV 89122,3,2,1,Single Family Home; Ready to build,1749,87120,202990
1313 Pinto Rock Ln Unit 201 Las Vegas NV 89128,2,2,0,Condo/Townhome/Row Home/Co-Op,1136,,84900
3408 Saint Aiden St Las Vegas NV 89129,4,3,0,Single Family Home,2432,6969,284999
2521 Sierra Luna Ave Unit 106 Las Vegas NV 89106,3,2,1,Condo/Townhome/Row Home/Co-Op,1213,5662800,85000
9303 Gilcrease Av Unit: 1022 Las Vegas NV 89149,2,2,0,Condo/Townhome/Row Home/Co-Op,1120,,74000
2934 Liberty Ave Las Vegas NV 89121,5,3,0,Single Family Home,2670,7405,129900
8214 Moapa Water St Las Vegas NV 89131,4,3,0,Single Family Home,2971,8276,360000
9620 Grand Isle Ln Las Vegas NV 89144,3,4,1,Single Family Home,4572,18295,1390000
3542 Rio Mayo Dr Las Vegas NV 89121,3,2,0,Single Family Home,1530,6534,115000
4883 Benecia Way Las Vegas NV 89122,3,2,0,Condo/Townhome/Row Home/Co-Op,1315,4356,89900
5659 Hobble Creek Dr Las Vegas NV 89120,2,2,0,Mfd/Mobile Home,1428,3484,82500
4429 Narit Dr Las Vegas NV 89108,3,2,1,Single Family Home,1424,3484,105000
3339 Haleakala Dr Las Vegas NV 89122,2,2,0,Mfd/Mobile Home,1136,3920,55000
2600 W Harmon Ave # 9046 Las Vegas NV 89158,1,1,0,Condo/Townhome/Row Home/Co-Op,545,,349900
7342 Caballo Range Ave Las Vegas NV 89179,3,2,1,Single Family Home,2802,5662,244900
609 Digger St Las Vegas NV 89107,6,4,0,Single Family Home,2002,6098,158000
1012 Sidehill Way Las Vegas NV 89110,4,3,0,Single Family Home,2360,20909,210000
4178 Story Rock St Las Vegas NV 89115,3,2,1,Single Family Home,1180,1742,79000
6705 Bent Wood Ct Las Vegas NV 89108,3,2,1,Single Family Home,2793,10890,289990
2916 Reef Bay Ln Las Vegas NV 89128,3,2,1,Single Family Home,1950,5227,224900
11356 Merado Peak Dr Las Vegas NV 89135,4,2,1,Single Family Home,2704,3920,435000
292 Broadcast Ave Las Vegas NV 89183,5,3,0,Single Family Home,4058,12632,425000
9337 Pokeweed Ct Las Vegas NV 89149,3,2,0,Condo/Townhome/Row Home/Co-Op,1235,3049,149900
8733 Red Brook Dr # 204-1922 Las Vegas NV 89128,2,2,0,Condo/Townhome/Row Home/Co-Op,1333,2787,167500
10204 Amber Hue Ln Las Vegas NV 89144,3,2,1,Condo/Townhome/Row Home/Co-Op,1873,3049,226900
4128 Story Rock St Las Vegas NV 89115,3,2,1,Single Family Home,1180,2613,105000
Las Vegas NV 89135,3,2,1,Single Family Home,1878,6534,269000
8197 Round Hills Cir Las Vegas NV 89113,2,2,0,Condo/Townhome/Row Home/Co-Op,1683,4356,358888
2179 Silvered Bark Dr Las Vegas NV 89135,3,2,1,Single Family Home,1949,3920,195000
6216 Old Trail Rd Las Vegas NV 89108,3,2,0,Single Family Home,1271,6534,133000
9905 Mustang Creek Way Las Vegas NV 89148,3,2,1,Single Family Home,1437,1742,144900
3012 Van Buskirk Cir Las Vegas NV 89121,3,2,1,Single Family Home,2262,7840,136000
933 Boulder Mesa Dr Unit 202 Las Vegas NV 89128,2,2,0,Condo/Townhome/Row Home/Co-Op,912,,78888
211 E Flamingo Rd # 411 Las Vegas NV 89169,1,1,0,Condo/Townhome/Row Home/Co-Op,941,,115000
8622 Amber Autumn St Las Vegas NV 89131,4,3,1,Single Family Home,2948,15682,439000
7644 Marine Current St Las Vegas NV 89139,4,2,1,Single Family Home,1972,3920,277500
5482 Petaca Rd Las Vegas NV 89122,2,2,0,Mfd/Mobile Home,2050,5662,69000
Las Vegas NV 89109,5,6,1,Single Family Home,6395,12197,1390000
6859 Pipil St Las Vegas NV 89166,3,2,1,Single Family Home,1676,3484,189000
5702 Fairlight Dr Las Vegas NV 89142,4,2,1,Single Family Home,1542,3920,100000
2857 Paradise Rd Unit 1606 Las Vegas NV 89109,2,2,0,Condo/Townhome/Row Home/Co-Op,1712,,365000
7684 Blue Meadow Ave Las Vegas NV 89178,5,4,1,Single Family Home,3388,11326,320000
Las Vegas NV 89113,5,4,0,Single Family Home,3878,6969,485000
9424 Eagle Valley Dr Las Vegas NV 89134,2,2,0,Single Family Home,1804,8276,250000
10162 Arkell Ct Las Vegas NV 89183,7,4,1,Single Family Home,6710,15246,850000
6951 Mira Vista St Las Vegas NV 89120,5,6,1,Single Family Home,7677,38768,2150000
Las Vegas NV 89139,5,3,1,Single Family Home,4063,7405,365000
400 Amber Pine St Apt 205 Las Vegas NV 89144,2,2,0,Condo/Townhome/Row Home/Co-Op,980,,125000
7632 Kit Carson Ave Las Vegas NV 89179,5,3,1,Single Family Home,3350,6098,393983
41 Dandy View Ave Las Vegas NV 89183,3,2,1,Single Family Home,1651,3049,178000
3017 Ocean Port Dr Las Vegas NV 89117,5,4,0,Single Family Home,4003,9147,549999
8329 Squaw Valley Ave Las Vegas NV 89128,3,2,0,Single Family Home,2036,6098,269000
4100 Plan Las Vegas NV 89131,5,3,1,Single Family Home; Ready to build,4100,130680,429990
4584 Inland Ct Las Vegas NV 89147,4,2,1,Single Family Home,1762,6969,199900
5026 Roswell St Las Vegas NV 89120,3,2,0,Single Family Home,1245,7405,169990
3470 Seaside Treasures Ct Las Vegas NV 89122,4,2,0,Single Family Home,1654,9583,135000
9704 Ziegler Ave Las Vegas NV 89148,3,2,1,Single Family Home,2415,3484,159900
6312 Molino St Las Vegas NV 89108,4,2,0,Single Family Home,1508,5662,149999
10600 Bandera Mountain Ln Las Vegas NV 89166,4,2,1,Single Family Home,1919,3049,249900
6017 Cottontail Cove St Las Vegas NV 89130,3,3,0,Single Family Home,3050,8276,185000
1709 S Eastern Ave Las Vegas NV 89104,3,1,0,Single Family Home,1100,5227,200000
2857 Paradise Rd Unit 3402 Las Vegas NV 89109,3,4,1,Condo/Townhome/Row Home/Co-Op,4103,,2488888
1512 Willowbark Ct Las Vegas NV 89117,4,3,0,Single Family Home,2765,6098,365000
10832 Scamadella St Las Vegas NV 89141,4,2,1,Single Family Home,2453,5227,275000
10236 Rio De Thule Ln Las Vegas NV 89135,2,2,0,Single Family Home,1683,6534,299000
6701 Cobre Azul Av Unit: 101 Las Vegas NV 89108,3,2,0,Condo/Townhome/Row Home/Co-Op,1289,,94900
2534 E Owens Ave Las Vegas NV 89030,5,3,0,Single Family Home,1705,7840,99999
230 Mission Newport Ln Unit: # 201 Las Vegas NV 89107,1,1,0,Condo/Townhome/Row Home/Co-Op,660,,39900
9255 Tisha Renee Ave Las Vegas NV 89147,4,3,0,Single Family Home,2651,6098,307900
4311 Gannet Cir Unit 188 Las Vegas NV 89103,1,1,0,Condo/Townhome/Row Home/Co-Op,684,,59900
360 E Desert Inn Rd Unit 1903 Las Vegas NV 89109,3,3,1,Condo/Townhome/Row Home/Co-Op,4614,,3749000
797 E Harmon Ave Apt 30 Las Vegas NV 89119,1,1,0,Condo/Townhome/Row Home/Co-Op,392,,30000
2661 Red Arrow Dr Las Vegas NV 89135,5,5,2,Single Family Home,7073,18295,3000000
3647 Wild Springs St Las Vegas NV 89129,2,2,1,Single Family Home,1141,2178,149990
3151 Soaring Gulls Dr Unit 2176 Las Vegas NV 89128,1,1,0,Condo/Townhome/Row Home/Co-Op,704,,60000
5174 S Jones Bl Unit: 203 Las Vegas NV 89118,1,1,0,Condo/Townhome/Row Home/Co-Op,668,,52060
3340 Ascona Ct Las Vegas NV 89129,5,3,0,Single Family Home,2677,5662,258900
3613 Kobie Creek Ct Las Vegas NV 89130,4,3,0,Single Family Home,2852,11326,312020
8528 Vivid Violet Ave Las Vegas NV 89143,6,3,0,Single Family Home,3297,7840,319000
200 W Sahara Ave Unit 811 Las Vegas NV 89102,1,1,0,Condo/Townhome/Row Home/Co-Op,1090,,188000
1312 Pinto Rock Ln Unit 101 Las Vegas NV 89128,2,2,0,Condo/Townhome/Row Home/Co-Op,1136,,70000
3503 Mercury St Las Vegas NV 89030,4,2,0,Condo/Townhome/Row Home/Co-Op,1235,1306,85000
3625 Beeson Ct Las Vegas NV 89130,4,3,0,Single Family Home,2034,20909,185000
5843 Stoneborough St Las Vegas NV 89113,3,2,0,Single Family Home,1282,5096,140000
7345 Vireo Dr Las Vegas NV 89147,3,2,0,Single Family Home,1401,3920,135000
6107 Squilchuck Ct Las Vegas NV 89139,2,2,1,Single Family Home,1170,2178,141000
7486 Glimmering Sun Ave Las Vegas NV 89178,4,2,1,Single Family Home,1797,3920,195500
2000 N Fashion Show Dr Unit 3018 Las Vegas NV 89109,1,1,0,Condo/Townhome/Row Home/Co-Op,534,,255000
4771 Pinon Pointe Rd Las Vegas NV 89115,2,1,1,Single Family Home,867,2178,89000
5895 S Gateway Rd Las Vegas NV 89120,5,4,1,Single Family Home,6041,22216,1750000
8028 Cimarron Ridge Dr Unit 201 Las Vegas NV 89128,3,2,0,Condo/Townhome/Row Home/Co-Op,1155,,124900
9538 Palini Ct Las Vegas NV 89123,3,2,1,Single Family Home,1688,5227,200000
8093 Mosaic Harbor Ave Las Vegas NV 89117,5,3,0,Single Family Home,3260,10019,350000
7620 Rockfield Dr Las Vegas NV 89128,3,2,0,Single Family Home,1276,3920,150000
4576 Sheppard Dr Las Vegas NV 89122,3,2,0,Single Family Home,1269,6098,109000
8964 Marmo Ave Las Vegas NV 89148,4,2,1,Single Family Home,1845,3484,198000
10010 Aspen Rose St Unit 103 Las Vegas NV 89183,3,2,1,Condo/Townhome/Row Home/Co-Op,1670,871,176500
10463 Howling Coyote Ave Las Vegas NV 89135,3,2,1,Single Family Home,2057,3920,289990
10895 Calcedonian St Las Vegas NV 89141,4,2,1,Single Family Home,2459,4356,330000
10225 Angel Peak Ct Las Vegas NV 89134,4,3,0,Single Family Home,2362,7840,357000
4581 Sandirose Way Las Vegas NV 89122,3,2,0,Mfd/Mobile Home,1634,4791,75000
The Oak Next Gen Las Vegas NV 89117,5,3,1,Single Family Home; Ready to build,4029,130680,524990
10884 Bozzolo St Las Vegas NV 89141,3,2,1,Single Family Home,1855,3920,235000
5526 E Carey Ave Las Vegas NV 89156,3,2,0,Mfd/Mobile Home,1600,6098,75000
11456 Regal Rock Pl Las Vegas NV 89138,3,2,0,Single Family Home,1567,5227,289000
2206 Cascade St Las Vegas NV 89142,3,2,0,Single Family Home,1180,7405,124900
3180 Via Seranova Henderson NV 89044,3,2,1,Condo/Townhome/Row Home/Co-Op,1574,1742,219995
10660 Rancho Destino Rd Las Vegas NV 89183,4,3,0,Single Family Home,2752,49658,449900
5055 W Hacienda Av Unit: 1019 Las Vegas NV 89118,1,1,0,Condo/Townhome/Row Home/Co-Op,755,,59500
6308 Elton Ave Las Vegas NV 89107,3,2,0,Single Family Home,1670,6098,71900
10575 Angelo Tenero Ave Las Vegas NV 89135,2,2,1,Single Family Home,2234,6969,499000
6255 W Arby Ave Unit 163 Las Vegas NV 89118,2,2,0,Condo/Townhome/Row Home/Co-Op,1220,,119987
8867 Canyon Saddle St Las Vegas NV 89148,5,4,0,Single Family Home,3141,3484,314999
108 N Buteo Woods Ln Las Vegas NV 89144,5,4,1,Single Family Home,3460,8276,679000
204 Lucy Thompson St Las Vegas NV 89107,4,2,1,Single Family Home,1502,4791,100000
5023 Vista Montana Way North Las Vegas NV 89031,4,3,0,Single Family Home,2093,6534,150000
5823 Affirmed Ct Las Vegas NV 89113,4,2,1,Single Family Home,1967,4791,190000
3604 Casa Grande Ave Las Vegas NV 89102,5,2,0,Single Family Home,2513,7405,145000
201 Meyers Ave Las Vegas NV 89015,2,1,0,Single Family Home,900,9147,89900
