me,attachments,length,conversations,%from,%read,%starred,% contact replied,time contact reply,length contact reply,% me replied,time me reply,length me reply,in address book,important
"only",0,916,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"bcc",0,66,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"to",0,67,20,1.00,0.95,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,254,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,249,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,175,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,80,20,0.75,1.00,0.00,0.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"cc",0,12,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","TRUE"
"only",0,196,20,0.15,1.00,0.00,0.00,18446744073709600000,0,0.00,18446744073709600000,0,"TRUE","TRUE"
"only",0,32,20,1.00,0.50,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,10,20,0.95,1.00,0.00,0.00,18446744073709600000,0,0.32,18446744073709600000,0,"TRUE","TRUE"
"bcc",0,60,20,1.00,0.65,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,181,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,92,20,1.00,0.20,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","TRUE"
"only",0,486,3,1.00,0.33,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,1428,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,1492,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,573,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,164,20,1.00,0.50,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,344,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"bcc",0,121,1,1.00,1.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,121,20,1.00,0.50,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,42,20,0.75,1.00,0.00,0.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,90,20,1.00,0.20,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,88,20,1.00,1.00,0.00,1.00,18446744073709600000,0,0.05,18446744073709600000,0,"TRUE","TRUE"
"only",0,198,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"TRUE","FALSE"
"cc",0,14,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","TRUE"
"bcc",0,1405,20,1.00,0.05,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"TRUE","FALSE"
"only",0,623,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"cc",0,14,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","TRUE"
"only",0,210,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,153,20,1.00,0.05,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,61,20,1.00,0.05,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"cc",4,119,20,0.90,1.00,0.00,1.00,46693500,390,0.83,210926933,172,"TRUE","TRUE"
"only",0,80,20,0.75,1.00,0.00,0.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","TRUE"
"only",0,153,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,181,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,83,20,1.00,0.10,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,748,9,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,854,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"TRUE","FALSE"
"only",0,390,20,1.00,0.20,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,382,17,1.00,0.41,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,48,20,0.75,1.00,0.00,0.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,319,20,0.75,1.00,0.00,0.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,489,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,330,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,132,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,449,20,1.00,0.05,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,122,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,24,20,0.45,1.00,0.00,0.09,1269000,71,0.22,86986500,91,"TRUE","TRUE"
"only",0,24,20,0.45,1.00,0.00,0.09,1269000,71,0.22,86986500,91,"TRUE","TRUE"
"only",0,185,20,1.00,0.40,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"TRUE","FALSE"
"bcc",0,366,1,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"bcc",0,366,1,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,173,4,1.00,0.25,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,46,4,0.75,1.00,0.00,0.00,18446744073709600000,0,0.67,18446744073709600000,0,"TRUE","TRUE"
"only",0,8,20,0.15,1.00,0.00,0.00,18446744073709600000,0,0.00,18446744073709600000,0,"TRUE","TRUE"
"only",2,22,20,0.80,1.00,0.05,0.00,18446744073709600000,0,0.31,18446744073709600000,0,"TRUE","TRUE"
"only",0,267,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,200,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,151,20,1.00,0.05,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,380,20,0.15,1.00,0.00,0.00,18446744073709600000,0,0.00,18446744073709600000,0,"TRUE","TRUE"
"only",0,516,20,1.00,0.35,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,290,19,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"bcc",0,169,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,122,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,110,20,1.00,0.50,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"bcc",0,483,5,1.00,0.40,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,254,8,1.00,0.63,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,948,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"TRUE","FALSE"
"only",0,460,20,1.00,0.20,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,1170,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"TRUE","FALSE"
"only",0,465,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,728,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,290,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,114,1,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,349,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,149,1,1.00,1.00,1.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,396,20,1.00,0.80,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"bcc",0,142,4,1.00,1.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,258,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"bcc",0,121,4,1.00,1.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,234,6,1.00,1.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,979,20,0.15,1.00,0.00,0.00,18446744073709600000,0,0.00,18446744073709600000,0,"TRUE","FALSE"
"only",0,157,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,112,1,1.00,1.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","TRUE"
"bcc",0,71,20,0.50,1.00,0.00,0.60,161115833,35,0.80,96733375,87,"TRUE","TRUE"
"bcc",0,71,20,0.50,1.00,0.00,0.60,161115833,35,0.80,96733375,87,"TRUE","TRUE"
"only",0,92,20,1.00,0.20,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","TRUE"
"only",0,26,5,0.20,1.00,0.00,0.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","TRUE"
"only",0,21,10,1.00,0.30,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,409,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"TRUE","FALSE"
"only",1,158,20,1.00,0.85,0.05,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,795,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"TRUE","FALSE"
"only",0,1442,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,1493,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,1565,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,273,20,1.00,0.20,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,311,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,489,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,521,20,0.75,1.00,0.00,0.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,331,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,353,20,1.00,0.90,0.05,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,161,1,1.00,1.00,0.00,1.00,18446744073709600000,0,1.00,18446744073709600000,0,"FALSE","FALSE"
"bcc",0,479,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"to",0,116,20,1.00,0.55,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,173,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,342,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"cc",0,14,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","TRUE"
"only",1,15,20,0.15,1.00,0.00,0.24,23181500,113,0.67,1761044500,28,"TRUE","TRUE"
"only",0,540,20,0.95,1.00,0.00,0.00,18446744073709600000,0,0.32,18446744073709600000,0,"TRUE","TRUE"
"only",0,336,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"TRUE","FALSE"
"only",0,18,20,0.95,1.00,0.00,0.00,18446744073709600000,0,0.32,18446744073709600000,0,"TRUE","TRUE"
"only",0,439,16,1.00,0.38,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,187,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,159,20,1.00,0.25,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",1,158,20,1.00,0.85,0.05,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,182,20,1.00,0.95,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","TRUE"
"only",0,112,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"cc",0,12,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","TRUE"
"only",0,392,20,1.00,0.25,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,671,17,1.00,0.12,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,758,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"TRUE","FALSE"
"only",0,360,20,1.00,0.20,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"to",0,99,20,1.00,0.55,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,196,20,0.75,1.00,0.00,0.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",1,158,20,1.00,0.85,0.05,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,347,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,622,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,155,20,1.00,0.20,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,612,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
"only",0,83,20,1.00,0.00,0.00,1.00,18446744073709600000,0,0.00,18446744073709600000,0,"FALSE","FALSE"
